date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
01/10/1957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1958,,,,,,,,,,,,,,,,,,
01/02/1958,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1958,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1958,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1958,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1958,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1958,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1958,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1958,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1959,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1959,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1959,,,,,,,,,,,,,,,,,,
01/06/1959,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1959,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1959,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1959,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1959,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1960,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1960,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1960,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1960,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1960,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1960,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1960,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1960,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1960,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1960,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1960,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1961,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1961,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1961,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1961,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1961,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1961,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1961,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1961,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1961,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1961,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1961,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1962,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1962,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1962,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1962,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1962,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1962,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1962,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1962,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1962,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1962,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1962,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1962,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1963,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1963,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1963,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1963,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1963,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1963,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
