date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
Q1'1957,,,,,,,,,,,,,,,,,,
Q2'1957,,,,,,,,,,,,,,,,,,
Q3'1957,,,,,,,,,,,,,,,,,,
Q4'1957,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1958,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1958,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1958,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1958,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1959,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1959,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1959,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1959,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1960,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1960,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1960,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1960,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1961,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1961,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1961,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1961,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1962,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1962,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1962,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1962,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1963,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1963,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1963,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1964,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1964,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1964,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1964,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1965,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1965,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1965,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1965,20,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1966,16,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1966,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1966,10,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1966,15,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1967,17,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1967,19,20,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1967,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1967,20,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1968,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1968,26,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1968,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1968,24,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1969,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1969,15,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1969,18,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1969,25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q1'1970,15,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1970,22,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Q3'1970,19,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
