date,UdSSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
1957,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,23,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,37,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,54,82,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,52,85,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,74,66,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1968,83,47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1969,82,39,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1970,87,30,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
1971,91,33,2,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0
1972,79,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1973,89,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1974,85,22,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
1975,93,31,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
1976,101,27,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
1977,101,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,91,33,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1979,89,16,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1980,89,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,100,20,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1982,108,18,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1983,100,23,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1984,96,22,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0
1985,101,18,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1986,94,9,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1987,97,9,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0
1988,94,11,0,7,2,0,0,4,1,1,1,0,0,0,0,0,0,0
1989,74,19,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,79,27,0,6,3,0,0,5,0,0,1,0,0,0,0,0,0,0
1991,61,18,0,8,2,0,0,1,0,0,0,1,0,0,0,0,0,0
1992,0,29,0,7,1,0,0,4,0,1,0,55,0,0,0,0,0,0
1993,0,25,0,7,1,0,0,1,0,1,0,48,0,0,0,0,0,0
1994,0,28,0,8,2,0,0,5,0,2,0,48,0,0,0,0,0,0
1995,0,30,0,11,2,0,0,3,0,0,1,33,0,0,0,0,0,0
1996,0,33,0,11,1,0,0,4,0,1,0,27,0,0,0,0,0,0
1997,5,38,0,12,2,0,0,6,0,1,0,24,1,0,0,0,0,0
1998,2,36,0,11,2,0,0,6,0,0,1,23,0,1,0,0,0,0
1999,3,31,0,10,1,2,0,4,0,1,0,25,1,0,0,0,0,0
2000,2,27,0,12,1,3,1,6,0,0,0,33,0,0,0,0,0,0
2001,1,23,0,8,1,2,0,0,0,2,0,22,0,0,0,0,0,0
2002,0,18,0,11,3,1,2,5,0,1,1,23,0,0,0,0,0,0
2003,0,22,0,4,3,4,2,7,0,2,0,19,0,0,0,0,0,0
2004,0,17,0,3,0,2,0,8,0,1,1,23,0,0,0,0,0,0
2005,0,12,0,5,2,4,1,6,0,1,0,25,0,0,0,0,0,0
2006,0,18,0,5,6,5,1,6,0,2,0,24,0,0,0,0,0,0
2007,0,19,0,6,2,2,0,10,0,2,1,26,0,0,0,0,0,0
2008,0,16,0,6,1,5,0,11,0,3,0,26,0,0,1,0,0,0
2009,0,25,0,7,3,4,2,7,0,2,0,26,0,1,1,1,0,0
2010,0,27,0,7,2,0,1,14,0,3,1,21,0,0,0,1,0,0
2011,0,36,0,9,3,2,0,21,0,3,0,24,0,0,1,0,0,0
2012,0,28,0,11,2,3,0,18,0,2,0,16,0,2,3,0,0,0
2013,0,33,0,8,3,2,1,15,0,4,0,21,0,0,0,1,0,0
2014,0,33,0,11,4,1,0,16,0,3,1,30,0,0,0,0,0,0
2015,0,25,0,12,4,0,0,20,0,5,0,22,0,0,1,0,0,0
2016,0,35,0,11,4,0,1,22,0,7,1,14,0,1,0,0,0,0
2017,0,39,0,11,8,1,1,17,0,5,0,14,0,0,1,0,0,0
2018,0,41,0,11,7,0,1,40,0,7,0,16,0,0,0,0,0,0
2019,0,39,0,9,4,0,0,34,0,6,0,21,0,0,2,0,0,0
2020,0,52,0,10,5,0,0,38,0,2,1,12,0,0,2,0,0,0
2021,0,63,0,15,5,0,0,55,0,2,0,16,0,0,2,1,1,0
2022,0,105,1,11,9,0,0,30,0,8,0,19,0,0,1,1,0,3
