date;UdSSR;United States;China;Russia;Brazil;Australia;Europe;Asia
1957;1;2;0;0;0;0;0;0
1958;7;24;0;0;0;0;0;0
1959;10;49;0;0;0;0;0;0
1960;19;86;0;0;0;0;0;0
1961;28;138;0;0;0;0;0;0
1962;51;202;0;0;0;0;0;0
1963;73;256;0;0;0;0;0;0
1964;110;324;0;0;0;0;1;0
1965;164;406;0;0;0;0;3;0
1966;216;491;0;0;0;0;4;2
1967;290;557;0;0;0;0;9;3
1968;373;604;0;0;0;0;12;3
1969;455;643;0;0;0;0;15;4
1970;542;673;1;0;0;0;19;6
1971;633;706;2;0;0;0;26;8
1972;712;738;2;0;0;0;27;9
1973;801;763;3;0;0;0;28;9
1974;886;785;5;0;0;0;31;10
1975;979;816;8;0;0;0;34;12
1976;1080;843;11;0;0;0;34;14
1977;1181;869;11;0;0;0;34;16
1978;1272;902;12;0;0;0;34;19
1979;1361;918;13;0;0;0;36;21
1980;1450;934;13;0;0;0;37;23
1981;1550;954;14;0;0;0;39;26
1982;1658;972;15;0;0;0;40;27
1983;1758;995;16;0;0;0;42;30
1984;1854;1017;19;0;0;0;46;34
1985;1955;1035;20;0;0;0;50;35
1986;2049;1044;22;0;0;0;53;37
1987;2146;1053;24;0;0;0;55;41
1988;2240;1064;28;0;0;0;63;45
1989;2314;1083;28;0;0;0;70;47
1990;2393;1110;33;0;0;0;76;51
1991;2454;1128;34;1;0;0;84;53
1992;2454;1157;38;56;0;0;91;55
1993;2454;1182;39;104;0;0;98;57
1994;2454;1210;44;152;0;0;106;61
1995;2454;1240;47;185;0;0;117;64
1996;2454;1273;51;212;0;0;128;66
1997;2459;1311;57;236;1;0;140;69
1998;2461;1347;63;259;1;0;151;73
1999;2464;1378;67;284;2;0;163;75
2000;2466;1405;73;317;2;0;179;76
2001;2467;1428;73;339;2;0;189;79
2002;2467;1446;78;362;2;0;203;84
2003;2467;1468;85;381;2;0;213;89
2004;2467;1485;93;404;2;0;218;91
2005;2467;1497;99;429;2;0;228;94
2006;2467;1515;105;453;2;0;239;102
2007;2467;1534;115;479;2;0;247;107
2008;2467;1550;126;505;2;0;258;112
2009;2467;1575;133;531;2;0;271;120
2010;2467;1602;147;552;2;0;279;127
2011;2467;1638;168;576;2;0;290;134
2012;2467;1666;186;592;2;0;304;143
2013;2467;1699;201;613;2;0;315;151
2014;2467;1732;217;643;2;0;327;159
2015;2467;1757;237;665;2;0;339;169
2016;2467;1792;259;679;2;0;351;182
2017;2467;1831;276;693;2;0;364;196
2018;2467;1872;316;709;2;0;376;210
2019;2467;1911;350;730;2;0;385;222
2020;2467;1963;388;742;2;0;395;232
2021;2467;2026;443;758;2;0;410;243
2022;2467;2131;473;777;2;3;422;262
