CountryName,ISO_A3,sqrKm,population
Russian Federation,RUS,17098250,144495044
Canada,CAN,9984670,36708083
United States,USA,9831510,325719178
China,CHN,9562910,1386395000
Brazil,BRA,8515770,209288278
Australia,AUS,7741220,24598933
India,IND,3287259,1339180127
Argentina,ARG,2780400,44271041
Kazakhstan,KAZ,2724902,18037646
Algeria,DZA,2381740,41318142
Congo,COD,2344860,81339988
Saudi Arabia,SAU,2149690,32938213
Mexico,MEX,1964375,129163276
Indonesia,IDN,1913580,263991379
Sudan,SDN,1886068,40533330
Libya,LBY,1759540,6374616
Iran,IRN,1745150,81162788
Mongolia,MNG,1564120,3075647
Peru,PER,1285220,32165485
Chad,TCD,1284000,14899994
Niger,NER,1267000,21477348
Angola,AGO,1246700,29784193
Mali,MLI,1240190,18541980
South Africa,ZAF,1219090,56717156
Colombia,COL,1141749,49065615
Ethiopia,ETH,1104300,104957438
Bolivia,BOL,1098580,11051600
Mauritania,MRT,1030700,4420184
Egypt,EGY,1001450,97553151
Tanzania,TZA,947300,57310019
Nigeria,NGA,923770,190886311
Venezuela,VEN,912050,31977065
Namibia,NAM,824290,2533794
Pakistan,PAK,796100,197015955
Mozambique,MOZ,786380,29668834
Turkey,TUR,785350,80745020
Chile,CHL,756700,18054726
Zambia,ZMB,752610,17094130
Myanmar,MMR,676590,53370609
Afghanistan,AFG,652860,35530081
Somalia,SOM,637660,14742523
Norway,NOR,625217,5282223
Central African Republic,CAF,622980,4659080
South Sudan,SSD,619745,12575714
Ukraine,UKR,603550,44831159
Madagascar,MDG,587295,25570895
Botswana,BWA,581730,2291661
Kenya,KEN,580370,49699862
France,FRA,549087,67118648
Yemen,YEM,527970,28250420
Thailand,THA,513120,69037513
Spain,ESP,505935,46572028
Turkmenistan,TKM,488100,5758075
Cameroon,CMR,475440,24053727
Papua New Guinea,PNG,462840,8251162
Sweden,SWE,447430,10067744
Uzbekistan,UZB,447400,32387200
Morocco,MAR,446550,35739580
Iraq,IRQ,435052,38274618
Greenland,GRL,410450,56171
Paraguay,PRY,406752,6811297
Zimbabwe,ZWE,390760,16529904
Japan,JPN,377970,126785797
Germany,DEU,357580,82695000
Congo,COG,342000,5260750
Finland,FIN,338450,5511303
Vietnam,VNM,331230,95540800
Malaysia,MYS,330345,31624264
Cote d'Ivoire,CIV,322460,24294750
Poland,POL,312680,37975841
Oman,OMN,309500,4636262
Italy,ITA,301340,60551416
Philippines,PHL,300000,104918090
Burkina Faso,BFA,274220,19193382
New Zealand,NZL,267710,4793900
Gabon,GAB,267670,2025137
Ecuador,ECU,256370,16624858
Guinea,GIN,245860,12717176
United Kingdom,GBR,243610,66022273
Uganda,UGA,241550,42862958
Ghana,GHA,238540,28833629
Romania,ROU,238400,19586539
Lao PDR,LAO,236800,6858160
Guyana,GUY,214970,777859
Belarus,BLR,207600,9507875
Kyrgyz Republic,KGZ,199950,6201500
Senegal,SEN,196710,15850567
Syrian Arab Republic,SYR,185180,18269868
Cambodia,KHM,181040,16005373
Uruguay,URY,176220,3456750
Suriname,SUR,163820,563402
Tunisia,TUN,163610,11532127
Bangladesh,BGD,147630,164669751
Nepal,NPL,147180,29304998
Tajikistan,TJK,141380,8921343
Greece,GRC,131960,10760421
Nicaragua,NIC,130370,6217581
Korea  Dem. People’s Rep.,PRK,120540,25490965
Malawi,MWI,118480,18622104
Eritrea,ERI,117600,4474690
Benin,BEN,114760,11175692
Honduras,HND,112490,9265067
Liberia,LBR,111370,4731906
Bulgaria,BGR,111000,7075991
Cuba,CUB,109880,11484636
Guatemala,GTM,108890,16913503
Iceland,ISL,103000,341284
Korea,KOR,100339,51466201
Hungary,HUN,93030,9781127
Portugal,PRT,92226,10293718
Jordan,JOR,89320,9702353
Serbia,SRB,88360,7022268
Azerbaijan,AZE,86600,9862429
Austria,AUT,83879,8809212
United Arab Emirates,ARE,83600,9400145
Czech Republic,CZE,78870,10591323
Panama,PAN,75420,4098587
Sierra Leone,SLE,72300,7557212
Ireland,IRL,70280,4813608
Georgia,GEO,69700,3717100
Sri Lanka,LKA,65610,21444000
Lithuania,LTU,65286,2827721
Pacific island small states,PSS,65150,2419188
