city_ascii,longitude,latitude,country,iso3,population,id
Tokyo,139.7514,35.685,Japan,JPN,35676000,1392685764
New York,-73.9249,40.6943,United States,USA,19164071,1840034016
Mexico City,-99.131,19.4424,Mexico,MEX,19028000,1484247881
Mumbai,72.857,19.017,India,IND,18978000,1356226629
Sao Paulo,-46.625,-23.5587,Brazil,BRA,18845000,1076532519
Delhi,77.23,28.67,India,IND,15926000,1356872604
Shanghai,121.4365,31.2165,China,CHN,14987000,1156073548
Kolkata,88.3247,22.495,India,IND,14787000,1356060520
Dhaka,90.4086,23.7231,Bangladesh,BGD,12797394,1050529279
Buenos Aires,-58.3975,-34.6025,Argentina,ARG,12795000,1032717330
Los Angeles,-118.4068,34.114,United States,USA,12740381,1840020491
Karachi,66.99,24.87,Pakistan,PAK,12130000,1586129469
Cairo,31.25,30.05,Egypt,EGY,11893000,1818253931
Rio de Janeiro,-43.225,-22.925,Brazil,BRA,11748000,1076887657
Osaka,135.4601,34.75,Japan,JPN,11294000,1392419823
Beijing,116.3883,39.9289,China,CHN,11106000,1156228865
Manila,120.9822,14.6042,Philippines,PHL,11100000,1608618140
Moscow,37.6155,55.7522,Russia,RUS,10452000,1643318494
Istanbul,29.01,41.105,Turkey,TUR,10061000,1792756324
Paris,2.3333,48.8667,France,FRA,9904000,1250015082
Seoul,126.9997,37.5663,"Korea, South",KOR,9796000,1410836482
Lagos,3.3915,6.4433,Nigeria,NGA,9466000,1566593751
Jakarta,106.8294,-6.1744,Indonesia,IDN,9125000,1360771077
Guangzhou,113.325,23.145,China,CHN,8829000,1156237133
Chicago,-87.6861,41.8373,United States,USA,8639278,1840000494
London,-0.1167,51.5,United Kingdom,GBR,8567000,1826645935
